"dt","hh","_c2"
"20210826","19",5784579
"20210826","04",5776417
"20210826","20",5785229
"20210825","15",5771473
"20210826","02",5776319
"20210826","03",5776365
"20210826","22",5785978
"20210825","20",5775189
"20210825","18",5774096
"20210828","02",11
"20210825","19",5774665
"20210825","21",5775563
"20210826","08",5777543
"20210826","18",5784041
"20210827","05",5786804
"20210827","17",11
"20210828","06",11
"20210828","11",11
"20210828","18",84403
"20210826","23",5786161
"20210826","00",5776251
"20210826","11",5779969
"20210827","12",5790300
"20210827","18",11
"20210826","01",5776297
"20210827","07",5787367
"20210828","12",11
"20210826","17",5783401
"20210825","16",5772438
"20210826","10",5779172
"20210826","16",5782448
"20210827","09",5788476
"20210827","10",5789210
"20210827","11",5790003
"20210827","14",5790850
"20210828","00",11
"20210828","14",43981
"20210825","17",5773416
"20210827","08",5787714
"20210828","03",11
"20210828","10",11
"20210828","16",65872
"20210827","16",5792347
"20210828","04",11
"20210827","01",5786418
"20210827","02",5786445
"20210827","22",11
"20210825","22",5775795
"20210825","23",5776024
"20210826","13",5780337
"20210826","06",5776795
"20210828","15",55210
"20210826","15",5781418
"20210826","07",5777162
"20210827","03",5786526
"20210827","04",5786605
"20210826","14",5780710
"20210827","00",5786369
"20210826","05",5776555
"20210826","09",5778456
"20210827","06",5787014
"20210827","21",11
"20210828","05",11
"20210827","15",5791527
"20210827","19",11
"20210826","21",5785687
"20210827","20",11
"20210828","07",11
"20210828","13",30859
"20210826","12",5780229
"20210828","01",11
"20210828","09",11
"20210827","13",5790512
"20210827","23",11
"20210828","08",11
"20210828","17",74969
